Accel Pedal;Coolant Temp;Engine Lambda;Engine Speed;Man Air Press;Mass Air Flow OBD;Rel Thrott Pos OBD;Spark Advance;Fuel Inj Amt
31.5;91;1;2136.2;87.4;25.09;27.1;9.5;34.119
31.5;91;1;2140;89;25.09;27.1;9.5;34.119
31.5;91;1;2144.1;87.9;33.061;27.1;9.5;33.967
31.5;91;1;2148;87.2;37.09;25.9;9.5;33.967
31.5;91;1;2150.9;87.5;37.09;25.9;9.5;33.967
31.5;91;1;2156.1;88.2;37.09;25.9;9.5;33.967
31.5;90.2;1;2156.1;87.5;37.09;25.9;9.5;33.967
31.5;90;1;2163.1;87.2;37.09;25.9;9.5;33.967
31.5;90;1;2167.3;87;37.09;25.9;9.5;33.875
31.5;90;1;2169.6;87;35.52;25.9;9.6;33.875
31.5;90;1;2173.5;89;35.52;25.9;10;33.875
31.5;90;1;2180.4;88.9;35.52;25.9;10;33.875
31.5;90;1;2180.7;88.9;35.52;25.9;10;33.875
31.5;90;1;2185.3;88.8;35.52;25.9;10;33.875
31.5;90;1;2191.1;86.7;35.52;25.9;10;33.8
31.5;90;1;2192.7;86.7;36.049;25.9;10;33.661
31.5;90;1;2196.9;86.8;38.37;25.5;10;33.661
31.5;90;1;2201.2;87.1;38.37;25.5;10;33.661
31.5;90;1;2206.5;87.6;38.37;25.5;10;33.661
31.5;90.5;1;2209.8;88.3;38.37;25.5;10;33.661
31.5;91;1;2214.3;86.6;38.37;25.5;10;33.661
31.5;91;1;2218.1;87.2;38.37;25.5;10;33.6
31.5;91;1;2223.8;88.1;36.14;25.5;10;33.6
31.5;91;1;2223.3;86.7;36.14;25.5;10;33.6
31.5;91;1;2227.2;87.7;36.14;25.5;10;33.6
31.5;91;1;2233.8;86.5;36.14;25.5;10;33.6
31.5;91;1;2235.1;87.6;36.14;25.5;10;33.6
31.5;91;1;2238.7;86.5;36.14;25.5;10;33.589
